"","ID","Sample.Plate","Species","Region","Site","CollectionDate","Season","Rain","Depth","Symbiodinium","Breviolum","Cladocopium","Durusdinium","dom","background","totalSym","sort","count","failed"
"1","urban_193","Sample 3_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,336,2,"y"
"2","urban_209","Sample 4_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,337,2,"y"
"3","urban_210","Sample 5_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","MacArthur North","23-Jan","Winter","Dry",1.1,0,0,0,1,"D","",1,338,2,"y"
"4","urban_012","Sample 6_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Jul","Summer","Wet",2.4,0,0,0,1,"D","",1,339,2,"y"
"5","urban_072","Sample 7_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Sep","Fall","Wet",5,0,0,1.93316e-05,0.999980668,"D","C",1,340,2,"y"
"6","urban_073","Sample 8_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Sep","Fall","Wet",5,0,0,1.46658e-05,0.999985334,"D","C",1,341,2,"y"
"7","urban_075","Sample 9_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Sep","Fall","Wet",5,0,0,6.65437e-05,0.999933456,"D","C",1,342,2,"y"
"8","M2","Sample 10_UrbanPopgen_Plate31_7-13-23_data.csv","Mcav","Miami urban","Star Island","22-Oct","Fall","Wet",2.4,0,0,0,1,"D","",1,343,2,"y"
"9","urban_097","Sample 11_UrbanPopgen_Plate31_7-13-23_data.csv","Ofav","Miami reef","Rainbow Reef","22-Oct","Fall","Wet",7.6,0,0.045025349,0.002134649,0.952840002,"D","BC",1,344,2,"y"
"10","OS16 rex","Sample 12_UrbanPopgen_Plate31_7-13-23_data.csv","Pseu","Miami reef","Rainbow Reef","22-Jun","Summer","Wet",7,0,1,0,0,"B","",1,345,2,"y"
"11","Baggs_009","Sample 1_UrbanPopgen_Plate60_3-24-24_data.csv","Pseu","Miami urban","Bill Baggs","21-Sep","Fall","Wet",1,0,0,0,0,"0","",0,624,2,"y"
"12","Baggs_039","Sample 1_UrbanPopgen_Plate61_3-24-24_data.csv","Ofav","Miami urban","Bill Baggs","21-Oct","Fall","Dry",1,0,0,0,0,"","",0,636,2,"y"
"13","Baggs_087","Sample 2_UrbanPopgen_Plate61_3-24-24_data.csv","Cnat","Miami urban","Bill Baggs","21-Jun","Summer","Wet",1,0,0,0,0,"0","",0,637,2,"y"
