# Generated by Structure Selector
# http://lmme.qdio.ac.cn/StructureSelector/		
# Author: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Puechmaille Method:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608¨C627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	50
2	2	2	2	2	50
3	2	2	2	2	50
4	2	2	2	2	50
5	2	2	3	3	50
6	2	2	4	4	50
7	3	3	5	4	50
8	3	3	5	5	50
9	2	2	5	4	50
10	2	2	4	4	50
11	2	2	4	4	50
12	2	2	4	4	50
13	2	2	4	5	50
14	2	2	4	4	50
15	2	2	3	3	50
16	2	2	5	5	50
17	2	2	4	4	50
18	2	2	4	4	50
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	3	3	5	5
