# Generated by Structure Selector
# http://lmme.qdio.ac.cn/StructureSelector/		
# Author: Yulong Li <liyulong12@mails.ucas.ac.cn>
# Puechmaille Method:
# Puechmaille SJ (2016) The program structure does not reliably recover the correct population structure 
# when sampling is uneven: subsampling and new estimators alleviate the problem. Molecular Ecology Resources, 16: 608¨C627.
K	MedMed	MedMean	MaxMed	MaxMean	Reps
1	1	1	1	1	50
2	2	2	2	2	50
3	2	2	2	2	50
4	3	3	3	3	50
5	3	3	4	4	50
6	3	3	4	4	50
7	3	3	4	4	50
8	3	3	4	4	50
9	3	3	5	5	50
10	3	3	5	5	50
11	3	3	5	5	50
12	3	3	6	6	50
13	3	3	5	5	50
14	3	3	6	5	50
15	3	3	4	5	50
16	3	3	5	5	50
17	3	3	5	5	50
18	3	3	5	5	50
19	3	3	5	6	50
20	3	3	5	5	50
21	3	3	5	5	50
22	3	3	5	5	50
23	3	3	5	5	50
	MedMedK	MedMeaK	MaxMedK	MaxMeaK
ALL	3	3	6	6
