Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Coral\Ing\UrbanPopgen_Plate36_1-11-24.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 14:08:01 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL,CTFAIL
A1,+++,A,NTC,FAM,NFQ-MGB,28.30424309,,,,,,FALSE,0.01,TRUE,3,27,,Y,N,N,N,N
A2,Sample 4,A,UNKNOWN,FAM,NFQ-MGB,30.95975494,30.95975494,,,,,FALSE,0.01,TRUE,3,30,,N,N,N,N,N
A3,Sample 8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
A4,Sample 12,A,UNKNOWN,FAM,NFQ-MGB,35.74755096,35.97608566,0.323196858,,,,FALSE,0.01,TRUE,3,39,,N,N,N,Y,N
A5,Sample 16,A,UNKNOWN,FAM,NFQ-MGB,27.29418945,27.78585815,0.695325911,,,,FALSE,0.01,TRUE,3,25,,N,Y,N,N,N
A6,Sample 20,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
A7,Sample 24,A,UNKNOWN,FAM,NFQ-MGB,27.93492508,28.08308411,0.20952715,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N,N
A8,Sample 28,A,UNKNOWN,FAM,NFQ-MGB,21.25558662,21.25558662,,,,,FALSE,0.01,TRUE,3,8,,N,N,N,N,N
A9,Sample 32,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
A10,Sample 36,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
A11,Sample 40,A,UNKNOWN,FAM,NFQ-MGB,37.73816299,37.35525513,0.54151082,,,,FALSE,0.01,TRUE,3,39,,N,Y,Y,Y,N
A12,,A,NTC,FAM,NFQ-MGB,5.16720438,,,,,,FALSE,0.01,TRUE,3,39,,Y,N,N,N,N
B1,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
B2,Sample 4,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,30.95975494,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
B3,Sample 8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
B4,Sample 12,A,UNKNOWN,FAM,NFQ-MGB,36.20462036,35.97608566,0.323196858,,,,FALSE,0.01,TRUE,3,39,,N,N,N,Y,N
B5,Sample 16,A,UNKNOWN,FAM,NFQ-MGB,28.27752876,27.78585815,0.695325911,,,,FALSE,0.01,TRUE,3,26,,N,Y,N,N,N
B6,Sample 20,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
B7,Sample 24,A,UNKNOWN,FAM,NFQ-MGB,28.23124123,28.08308411,0.20952715,,,,FALSE,0.01,TRUE,3,24,,N,N,N,N,N
B8,Sample 28,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,21.25558662,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
B9,Sample 32,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
B10,Sample 36,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
B11,Sample 40,A,UNKNOWN,FAM,NFQ-MGB,36.97235107,37.35525513,0.54151082,,,,FALSE,0.01,TRUE,3,39,,N,Y,N,Y,N
B12,Sample 44,A,UNKNOWN,FAM,NFQ-MGB,28.70075035,28.70075035,,,,,FALSE,0.01,TRUE,3,11,,N,N,Y,N,N
C1,Sample 1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,5,,N,N,Y,N,Y
C2,Sample 5,A,UNKNOWN,FAM,NFQ-MGB,27.60531044,27.16394043,0.624192774,,,,FALSE,0.01,TRUE,3,27,,N,Y,N,N,N
C3,Sample 9,A,UNKNOWN,FAM,NFQ-MGB,26.70662498,26.44646835,0.36791569,,,,FALSE,0.01,TRUE,3,25,,N,N,N,N,N
C4,Sample 13,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,TRUE,3,39,,N,N,Y,Y,N
